id,code,uic,name_short,name_medium,name_long,slug,country,type,geo_lat,geo_lng
266,HT,8400319,"Den Bosch",'s-Hertogenbosch,'s-Hertogenbosch,s-hertogenbosch,NL,knooppuntIntercitystation,51.69048,5.29362
269,HTO,8400320,"Dn Bosch O","'s-Hertogenb. O.","'s-Hertogenbosch Oost",s-hertogenbosch-oost,NL,stoptreinstation,51.700553894043,5.3183331489563
227,HDE,8400388,"'t Harde","'t Harde","'t Harde",t-harde,NL,stoptreinstation,52.4091682,5.893611
8,AHBF,8015345,Aachen,"Aachen Hbf","Aachen Hbf",aachen-hbf,D,knooppuntIntercitystation,50.7678,6.091499
818,AW,8015199,"Aachen W","Aachen West","Aachen West",aachen-west,D,stoptreinstation,50.78036,6.070715
51,ATN,8400045,Aalten,Aalten,Aalten,aalten,NL,stoptreinstation,51.921326524551,6.5786272287369
5,AC,8400047,Abcoude,Abcoude,Abcoude,abcoude,NL,stoptreinstation,52.2785,4.977
550,EAHS,8021123,Ahaus,Ahaus,Ahaus,ahaus,D,stoptreinstation,52.079796120944,7.0163583755493
12,AIME,8774176,Aime-la-Pl,Aime-la-Plagne,Aime-la-Plagne,aime-la-plagne,F,intercitystation,45.55438,6.64869
819,ACDG,8727149,"Airport dG","Airport deGaulle","Airport Charles de Gaulle",airport-charles-de-gaulle,F,knooppuntIntercitystation,49.004048,2.571133
551,AIXTGV,8731901,Aix-en-Pro,Aix-en-Provence,"Aix-en-Provence TGV",aix-en-provence-tgv,F,intercitystation,43.522819077343,5.4453134536743
14,AKM,8400049,Akkrum,Akkrum,Akkrum,akkrum,NL,stoptreinstation,53.046390533447,5.843611240387
15,ALBERT,8774164,Albertv.,Albertville,Albertville,albertville,F,intercitystation,45.67302,6.38306
26,AMR,8400050,Alkmaar,Alkmaar,Alkmaar,alkmaar,NL,knooppuntIntercitystation,52.63777923584,4.7397222518921
28,AMRN,8400052,"Alkmaar N","Alkmaar Noord","Alkmaar Noord",alkmaar-noord,NL,stoptreinstation,52.643890380859,4.7641668319702
25,AML,8400051,Almelo,Almelo,Almelo,almelo,NL,knooppuntIntercitystation,52.358055114746,6.6538887023926
27,AMRI,8400520,"de Riet","de Riet","Almelo de Riet",almelo-de-riet,NL,stoptreinstation,52.341945648193,6.6666665077209
18,ALMB,8400081,Buiten,Buiten,"Almere Buiten",almere-buiten,NL,stoptreinstation,52.394165039062,5.2780556678772
17,ALM,8400080,"Almere C","Almere C.","Almere Centrum",almere-centrum,NL,knooppuntIntercitystation,52.37503,5.21764
19,ALMM,8400082,Muziekwijk,Muziekwijk,"Almere Muziekwijk",almere-muziekwijk,NL,stoptreinstation,52.367500305176,5.1902775764465
20,ALMO,8400226,Oostvaard,Oostvaarders,"Almere Oostvaarders",almere-oostvaarders,NL,stoptreinstation,52.403331756592,5.3005557060242
21,ALMP,8400104,Parkwijk,Parkwijk,"Almere Parkwijk",almere-parkwijk,NL,stoptreinstation,52.376667022705,5.244722366333
680,AMPO,8400450,Poort,Poort,"Almere Poort",almere-poort,NL,stoptreinstation,52.342778,5.151944
36,APN,8400053,Alphen,"Alphen a/d Rijn","Alphen a/d Rijn",alphen-a-d-rijn,NL,knooppuntIntercitystation,52.124443054199,4.6577777862549
553,EABG,8021148,Altenberge,Altenberge,Altenberge,altenberge,D,stoptreinstation,52.05223,7.481202
23,AMF,8400055,"Amersfrt C","Amersfoort C.","Amersfoort Centraal",amersfoort-centraal,NL,knooppuntIntercitystation,52.153888702393,5.3705554008484
24,AMFS,8400054,Schothorst,Schothorst,"Amersfoort Schothorst",amersfoort-schothorst,NL,stoptreinstation,52.174822137451,5.4038887023926
54,AVAT,8400228,Vathorst,Vathorst,"Amersfoort Vathorst",amersfoort-vathorst,NL,stoptreinstation,52.192779541016,5.4338889122009
40,ASA,8400057,Amstel,Amstel,"Amsterdam Amstel",amsterdam-amstel,NL,intercitystation,52.346668243408,4.9177780151367
41,ASB,8400074,"Bijlmer A","Bijlmer ArenA","Amsterdam Bijlmer ArenA",amsterdam-bijlmer-arena,NL,knooppuntStoptreinstation,52.3122215271,4.9469442367554
43,ASD,8400058,"Amsterdm C","Amsterdam C.","Amsterdam Centraal",amsterdam-centraal,NL,megastation,52.378887176514,4.9002776145935
47,ASHD,8400231,Holendrcht,Holendrecht,"Amsterdam Holendrecht",amsterdam-holendrecht,NL,stoptreinstation,52.29844,4.95972
44,ASDL,8400079,Lelylaan,Lelylaan,"Amsterdam Lelylaan",amsterdam-lelylaan,NL,stoptreinstation,52.357776641846,4.8338890075684
45,ASDM,8400060,Muiderprt,Muiderpoort,"Amsterdam Muiderpoort",amsterdam-muiderpoort,NL,stoptreinstation,52.360553741455,4.9311113357544
393,RAI,8400056,RAI,RAI,"Amsterdam RAI",amsterdam-rai,NL,stoptreinstation,52.337223052979,4.8902778625488
48,ASSP,8400235,Scienceprk,"Science Park","Amsterdam Science Park",amsterdam-science-park,NL,stoptreinstation,52.35526,4.94651
50,ASS,8400059,Sloterdijk,Sloterdijk,"Amsterdam Sloterdijk",amsterdam-sloterdijk,NL,knooppuntIntercitystation,52.388889312744,4.8377776145935
46,ASDZ,8400061,"Amsterdm Z","Amsterdam Zuid","Amsterdam Zuid",amsterdam-zuid,NL,intercitystation,52.338889,4.872356
840,AMST,8101049,Amstetten,"Amstetten NÖ","Amstetten NÖ",amstetten-no,A,intercitystation,48.578476,9.873496
29,ANA,8400065,"Anna Paulo","Anna Paulowna","Anna Paulowna",anna-paulowna,NL,stoptreinstation,52.867221832275,4.8111109733581
699,BERCH,8821121,Antw-Berch,Antw-Berchem,Antwerpen-Berchem,antwerpen-berchem,B,knooppuntIntercitystation,51.198914,4.4332
52,ATW,8821006,Antw-C,Antwerpen-C.,Antwerpen-Centraal,antwerpen-centraal,B,megastation,51.21686,4.421242
555,ATWLB,8821063,Antw-Bal,Antw-Luchtbal,Antwerpen-Luchtbal,antwerpen-luchtbal,B,stoptreinstation,51.2449375,4.4251543
556,ANDD,8821089,Antw-dok,Antw-N'dokken,Antwerpen-Noorderdokken,antwerpen-noorderdokken,B,stoptreinstation,51.261686,4.4274315
701,FNZD,8821196,Antw-Z,Antwerpen-Z.,Antwerpen-Zuid,antwerpen-zuid,B,stoptreinstation,51.19785,4.39027
31,APD,8400066,Apeldoorn,Apeldoorn,Apeldoorn,apeldoorn,NL,knooppuntIntercitystation,52.209167480469,5.9702777862549
32,APDM,8400233,"De Maten","De Maten","Apeldoorn De Maten",apeldoorn-de-maten,NL,stoptreinstation,52.205276489258,6.0005555152893
33,APDO,8400229,Osseveld,Osseveld,"Apeldoorn Osseveld",apeldoorn-osseveld,NL,stoptreinstation,52.215278625488,6.0044445991516
34,APG,8400067,Appingedam,Appingedam,Appingedam,appingedam,NL,stoptreinstation,53.3258135,6.8619577
13,AKL,8400068,Arkel,Arkel,Arkel,arkel,NL,stoptreinstation,51.87194442749,4.9927778244019
37,ARN,8400069,Arnemuiden,Arnemuiden,Arnemuiden,arnemuiden,NL,stoptreinstation,51.501667022705,3.6691665649414
6,AH,8400071,"Arnhem C","Arnhem C.","Arnhem Centraal",arnhem-centraal,NL,knooppuntIntercitystation,51.985000610352,5.8991665840149
10,AHPR,8400075,Presikhaaf,Presikhaaf,"Arnhem Presikhaaf",arnhem-presikhaaf,NL,stoptreinstation,51.988056182861,5.9438886642456
9,AHP,8400072,Velperprt,Velperpoort,"Arnhem Velperpoort",arnhem-velperpoort,NL,stoptreinstation,51.985279083252,5.9194445610046
11,AHZ,8400227,"Arnhem Z","Arnhem Zuid","Arnhem Zuid",arnhem-zuid,NL,stoptreinstation,51.955001831055,5.8519444465637
49,ASN,8400073,Assen,Assen,Assen,assen,NL,knooppuntIntercitystation,52.991664886475,6.5708332061768
557,MA,8002140,Augsburg,"Augsburg Hbf","Augsburg Hbf",augsburg-hbf,D,sneltreinstation,48.365430714393,10.88547706604
55,AVTGV,8731896,Avignon,"Avignon TGV","Avignon TGV",avignon-tgv,F,megastation,43.92194,4.78604
102,BRN,8400086,Baarn,Baarn,Baarn,baarn,NL,knooppuntStoptreinstation,52.208332061768,5.2808332443237
76,BH,8021156,Bentheim,"Bad Bentheim","Bad Bentheim",bad-bentheim,D,knooppuntIntercitystation,52.309685595156,7.1585369110107
361,NSCH,8400457,Nweschans,"Bad Nieuweschans","Bad Nieuweschans",bad-nieuweschans,NL,knooppuntStoptreinstation,53.1844,7.19937
558,OEYNH,8013585,"Bad Oeynh","Bad Oeynhausen","Bad Oeynhausen",bad-oeynhausen,D,intercitystation,52.205461,8.796932
58,BADENZ,8503504,"Baden (CH)","Baden (CH)","Baden (CH)",baden-ch,CH,stoptreinstation,47.47638,8.30772
74,BF,8400089,Baflo,Baflo,Baflo,baflo,NL,stoptreinstation,53.3608969,6.5185581
98,BRD,8400090,Barendrcht,Barendrecht,Barendrecht,barendrecht,NL,stoptreinstation,51.854721069336,4.5533332824707
87,BNC,8400091,"Barnevld C","Barneveld C.","Barneveld Centrum",barneveld-centrum,NL,stoptreinstation,52.139999389648,5.590277671814
89,BNN,8400092,"Barnevld N","Barneveld Noord","Barneveld Noord",barneveld-noord,NL,stoptreinstation,52.161388397217,5.5980553627014
764,BNZ,8400115,"Barnevld Z","Barneveld Zuid","Barneveld Zuid",barneveld-zuid,NL,stoptreinstation,52.128853,5.60246
59,BASELB,8014431,"Basel Bad","Basel Bad Bf","Basel Bad Bf",basel-bad-bf,D,stoptreinstation,47.56815,7.6073
60,BASELS,8500010,"Basel SBB","Basel SBB","Basel SBB",basel-sbb,CH,megastation,47.5474,7.58956
64,BDM,8400094,Bedum,Bedum,Bedum,bedum,NL,stoptreinstation,53.3068857,6.593054
78,BK,8400096,Beek-E,Beek-Elsloo,Beek-Elsloo,beek-elsloo,NL,stoptreinstation,50.947498321533,5.7866668701172
106,BSD,8400097,Beesd,Beesd,Beesd,beesd,NL,stoptreinstation,51.899444580078,5.1944446563721
82,BL,8400100,Beilen,Beilen,Beilen,beilen,NL,stoptreinstation,52.854721069336,6.5211110115051
781,LLB,8894433,Belsele,Belsele,Belsele,belsele,B,stoptreinstation,51.150833,4.088332
75,BGN,8400108,"Bergen opZ","Bergen op Zoom","Bergen op Zoom",bergen-op-zoom,NL,stoptreinstation,51.49388885498,4.2961111068726
810,GSB,8007799,"Berlin Gsb","Berlin Gesundbr.","Berlin Gesundbrunnen",berlin-gesundbrunnen,D,intercitystation,52.5486327,13.3904267
68,BERHBL,8065969,"Berlin Hbf","Berlin Hbf","Berlin Hbf",berlin-hbf,D,megastation,52.52503,13.36946
561,BHF,8003004,"Berlin Ost","Berlin Ostbhf","Berlin Ostbahnhof",berlin-ostbahnhof,D,knooppuntIntercitystation,52.5104989,13.4346995
562,BSPD,8003025,Berlin-Spa,Berlin-Spandau,Berlin-Spandau,berlin-spandau,D,intercitystation,52.5343152,13.1989467
73,BET,8400112,Best,Best,Best,best,NL,stoptreinstation,51.509998321533,5.3891668319702
782,FBR,8894748,Beveren,Beveren,Beveren,beveren,B,stoptreinstation,51.208056,4.259444
111,BV,8400113,Beverwijk,Beverwijk,Beverwijk,beverwijk,NL,stoptreinstation,52.478332519531,4.6566667556763
563,BIELEF,8013597,Bielefeld,"Bielefeld Hbf","Bielefeld Hbf",bielefeld-hbf,D,stoptreinstation,52.029261,8.532722
77,BHV,8400114,Bilthoven,Bilthoven,Bilthoven,bilthoven,NL,stoptreinstation,52.130001068115,5.2038888931274
748,FIE,8831138,Bilzen,Bilzen,Bilzen,bilzen,B,stoptreinstation,50.868333,5.509167
97,BR,8400117,Blerick,Blerick,Blerick,blerick,NL,stoptreinstation,51.372501373291,6.1550002098083
83,BLL,8400118,Bloemendl,Bloemendaal,Bloemendaal,bloemendaal,NL,stoptreinstation,52.404167175293,4.6275000572205
63,BDG,8400121,Bodegraven,Bodegraven,Bodegraven,bodegraven,NL,stoptreinstation,52.081390380859,4.7461109161377
567,KBOI,8015128,Boisheim,Boisheim,Boisheim,boisheim,D,intercitystation,51.274323,6.274591
679,ALESS,8305043,"Bologna C","Bologna Centrale","Bologna Centrale",bologna-centrale,I,intercitystation,44.506389,11.341944
572,EBEO,8010385,Bönen,Bönen,Bönen,bonen,D,stoptreinstation,51.598015,7.757296
92,BONN,8015485,"Bonn Hbf","Bonn Hbf","Bonn Hbf",bonn-hbf,D,stoptreinstation,50.732014164675,7.0971250534058
833,KBB,8015577,Bonn-Beuel,Bonn-Beuel,Bonn-Beuel,bonn-beuel,D,intercitystation,50.738611,7.127778
702,FMB,8822814,Boom,Boom,Boom,boom,B,stoptreinstation,51.09063,4.36057
568,EBOK,8021111,Bork,"Bork (Westf)","Bork (Westf)",bork-westf,D,stoptreinstation,51.66988,7.45664
86,BN,8400124,Borne,Borne,Borne,borne,NL,stoptreinstation,52.298889160156,6.7480554580689
107,BSK,8400125,Boskoop,Boskoop,Boskoop,boskoop,NL,stoptreinstation,52.077777862549,4.6469445228577
813,BSKS,8400126,Snijdelwk,Snijdelwijk,"Boskoop Snijdelwijk",boskoop-snijdelwijk,NL,stoptreinstation,52.067658,4.646186
95,BOURG,8774179,Bourg-StM,Bourg-St-Maurice,Bourg-St-Maurice,bourg-st-maurice,F,intercitystation,45.61918,6.77167
546,BHDV,8400236,Boven-Har,Boven-Hardinxv.,Boven-Hardinxveld,boven-hardinxveld,NL,stoptreinstation,51.832222,4.878056
79,BKF,8400230,"Bovenk Flo","Bovenkarspel Fl.","Bovenkarspel Flora",bovenkarspel-flora,NL,stoptreinstation,52.696109771729,5.2527775764465
80,BKG,8400127,Bovenk-Gr,Bovenkarspel-Gr.,Bovenkarspel-Grootebroek,bovenkarspel-grootebroek,NL,stoptreinstation,52.694999694824,5.2377777099609
85,BMR,8400128,Boxmeer,Boxmeer,Boxmeer,boxmeer,NL,knooppuntStoptreinstation,51.644521767653,5.9390330314636
109,BTL,8400129,Boxtel,Boxtel,Boxtel,boxtel,NL,knooppuntStoptreinstation,51.58433,5.31912
61,BD,8400131,Breda,Breda,Breda,breda,NL,knooppuntIntercitystation,51.595554351807,4.7800002098083
65,BDPB,8400132,Prinsenbk,Prinsenbeek,Breda-Prinsenbeek,breda-prinsenbeek,NL,stoptreinstation,51.606388092041,4.7208333015442
100,BRESSX,8843901,Bressoux,Bressoux,Bressoux,bressoux,B,stoptreinstation,50.643829,5.6112542
81,BKL,8400133,Breukelen,Breukelen,Breukelen,breukelen,NL,knooppuntStoptreinstation,52.17149,4.9906
569,KBRY,8015129,Breyell,Breyell,Breyell,breyell,D,intercitystation,51.294615,6.241174
84,BMN,8400136,Brummen,Brummen,Brummen,brummen,NL,stoptreinstation,52.091110229492,6.1469445228577
103,BRUSC,8813003,Brussel-C,Brussel-C.,Brussel-Centraal,brussel-centraal,B,intercitystation,50.845175,4.357131
104,BRUSN,8812005,Brussel-N,Brussel-Noord,Brussel-Noord,brussel-noord,B,knooppuntIntercitystation,50.859658,4.360854
105,BRUSZ,8814001,Brussel-Z,"Brussel-Z. Midi","Brussel-Zuid Midi",brussel-zuid-midi,B,megastation,50.836782,4.336922
766,FBNL,8819406,"Brus Airpt","Brussels Airport","Brussels Airport-Zaventem",brussels-airport-zaventem,B,megastation,50.896821,4.48549
96,BP,8400139,Buitenpost,Buitenpost,Buitenpost,buitenpost,NL,knooppuntSneltreinstation,53.2564547,6.1446496
62,BDE,8400140,Bunde,Bunde,Bunde,bunde,NL,stoptreinstation,50.896945953369,5.7366666793823
573,BUENDE,8021173,"Bünde (W)","Bünde (Westf)","Bünde (Westf)",bunde-westf,D,stoptreinstation,52.202075,8.573876
88,BNK,8400141,Bunnik,Bunnik,Bunnik,bunnik,NL,stoptreinstation,52.063056945801,5.1944446563721
108,BSMZ,8400145,"Bussum Z","Bussum Zuid","Bussum Zuid",bussum-zuid,NL,stoptreinstation,52.26583480835,5.1630554199219
119,CPS,8400147,Schollevr,Schollevaar,"Capelle Schollevaar",capelle-schollevaar,NL,stoptreinstation,51.954166412354,4.5841665267944
113,CAS,8400151,Castricum,Castricum,Castricum,castricum,NL,intercitystation,52.545833587646,4.6586112976074
114,CHAMB,8774100,Chambéry,Chambéry,Chambéry,chambery,F,intercitystation,45.57127,5.91953
120,CVM,8400152,Chevremont,Chevremont,Chevremont,chevremont,NL,stoptreinstation,50.876110076904,6.0597224235535
574,ECMF,8021119,Coesfeld,"Coesfeld (Westf)","Coesfeld (Westf)",coesfeld-westf,D,stoptreinstation,51.939,7.1642
117,CO,8400153,Coevorden,Coevorden,Coevorden,coevorden,NL,knooppuntSneltreinstation,52.663612365723,6.7355556488037
575,COMO,8301307,"Como S. G","Como S. Giovanni","Como S. Giovanni",como-s-giovanni,I,intercitystation,45.80889,9.071944
115,CK,8400155,Cuijk,Cuijk,Cuijk,cuijk,NL,stoptreinstation,51.726682587905,5.8742952346802
116,CL,8400154,Culemborg,Culemborg,Culemborg,culemborg,NL,stoptreinstation,51.946666717529,5.2269444465637
121,DA,8400164,Daarlervn,Daarlerveen,Daarlerveen,daarlerveen,NL,stoptreinstation,52.4407702,6.5759947
134,DLN,8400161,Dalen,Dalen,Dalen,dalen,NL,stoptreinstation,52.69416809082,6.7580556869507
129,DL,8400167,Dalfsen,Dalfsen,Dalfsen,dalfsen,NL,sneltreinstation,52.498332977295,6.25861120224
157,DVNK,8400188,"De Vink","De Vink","De Vink",de-vink,NL,stoptreinstation,52.147220611572,4.4563889503479
783,DWE,8400745,Westereen,"De Westereen","De Westereen",de-westereen,NL,stoptreinstation,53.24817,6.03463
127,DEI,8400168,Deinum,Deinum,Deinum,deinum,NL,stoptreinstation,53.1888115,5.7281572
123,DDN,8400169,Delden,Delden,Delden,delden,NL,stoptreinstation,52.259998321533,6.7161111831665
144,DT,8400170,Delft,Delft,Delft,delft,NL,knooppuntIntercitystation,52.00666809082,4.3563890457153
147,DTCP,8400166,"Delft Camp","Delft Campus","Delft Campus",delft-campus,NL,stoptreinstation,51.990833282471,4.3647222518921
158,DZ,8400171,Delfzijl,Delfzijl,Delfzijl,delfzijl,NL,stoptreinstation,53.3336625,6.9240797
159,DZW,8400175,"Delfzijl W","Delfzijl West","Delfzijl West",delfzijl-west,NL,stoptreinstation,53.3320834,6.9069092
132,DLD,8400179,"Den Dolder","Den Dolder","Den Dolder",den-dolder,NL,knooppuntStoptreinstation,52.140277862549,5.2427778244019
214,GVC,8400282,"Den Haag C","Den Haag C.","Den Haag Centraal",den-haag-centraal,NL,megastation,52.080276489258,4.3249998092651
213,GV,8400280,"Dn Haag HS","Den Haag HS","Den Haag HS",den-haag-hs,NL,knooppuntIntercitystation,52.069721221924,4.3225002288818
302,LAA,8400380,"Laan v NOI","Laan v NOI","Den Haag Laan v NOI",den-haag-laan-v-noi,NL,knooppuntStoptreinstation,52.078609466553,4.3427777290344
215,GVM,8400278,Mariahoeve,Mariahoeve,"Den Haag Mariahoeve",den-haag-mariahoeve,NL,stoptreinstation,52.090557098389,4.3694443702698
216,GVMW,8400279,Moerwijk,Moerwijk,"Den Haag Moerwijk",den-haag-moerwijk,NL,stoptreinstation,52.053890228271,4.3086109161377
525,YPB,8400379,Ypenburg,Ypenburg,"Den Haag Ypenburg",den-haag-ypenburg,NL,stoptreinstation,52.055278778076,4.39222240448
229,HDR,8400311,"Den Helder","Den Helder","Den Helder",den-helder,NL,intercitystation,52.955276489258,4.7611112594605
230,HDRZ,8400303,"Dn Heldr Z","Den Helder Zuid","Den Helder Zuid",den-helder-zuid,NL,stoptreinstation,52.932498931885,4.7641668319702
137,DN,8400172,Deurne,Deurne,Deurne,deurne,NL,stoptreinstation,51.455833435059,5.7888889312744
153,DV,8400173,Deventer,Deventer,Deventer,deventer,NL,knooppuntIntercitystation,52.257499694824,6.1605553627014
154,DVC,8400185,Colmschate,Colmschate,"Deventer Colmschate",deventer-colmschate,NL,stoptreinstation,52.2502784729,6.2144446372986
128,DID,8400174,Didam,Didam,Didam,didam,NL,stoptreinstation,51.933502,6.1324106
135,DMN,8400165,Diemen,Diemen,Diemen,diemen,NL,stoptreinstation,52.34515,4.967566
136,DMNZ,8400163,"Diemen Z","Diemen Zuid","Diemen Zuid",diemen-zuid,NL,stoptreinstation,52.330276489258,4.9558334350586
750,GDP,8831112,Diepenbeek,Diepenbeek,Diepenbeek,diepenbeek,B,stoptreinstation,50.910278,5.419722
141,DR,8400176,Dieren,Dieren,Dieren,dieren,NL,intercitystation,52.044998168945,6.1030554771423
145,DTC,8400177,Doetinchem,Doetinchem,Doetinchem,doetinchem,NL,knooppuntStoptreinstation,51.9585962,6.2962148
146,DTCH,8400184,"De Huet","De Huet","Doetinchem De Huet",doetinchem-de-huet,NL,stoptreinstation,51.9591413,6.2598521
124,DDR,8400180,Dordrecht,Dordrecht,Dordrecht,dordrecht,NL,knooppuntIntercitystation,51.807220458984,4.668333530426
125,DDRS,8400186,Stadspldrs,Stadspolders,"Dordrecht Stadspolders",dordrecht-stadspolders,NL,stoptreinstation,51.801944732666,4.7166666984558
126,DDZD,8400181,"Dordrcht Z","Dordrecht Zuid","Dordrecht Zuid",dordrecht-zuid,NL,stoptreinstation,51.790000915527,4.6713891029358
577,EDD,8010101,"Dortmund D","Dortmund Derne","Dortmund Derne",dortmund-derne,D,stoptreinstation,51.56754,7.52855
578,EDO,8010053,Dortmund,"Dortmund Hbf","Dortmund Hbf",dortmund-hbf,D,knooppuntIntercitystation,51.517896,7.45929
579,EDKD,8010102,"Dortmund K","Dortmund Kirchd.","Dortmund Kirchderne",dortmund-kirchderne,D,stoptreinstation,51.547076,7.510099
122,DB,8400182,Driebergen,Driebergen-Zeist,Driebergen-Zeist,driebergen-zeist,NL,knooppuntStoptreinstation,52.065277099609,5.25861120224
142,DRH,8400183,Driehuis,Driehuis,Driehuis,driehuis,NL,stoptreinstation,52.442501068115,4.6380553245544
143,DRP,8400192,Dronryp,Dronryp,Dronryp,dronryp,NL,stoptreinstation,53.1778086,5.6347411
682,DRON,8400198,Dronten,Dronten,Dronten,dronten,NL,stoptreinstation,52.5344,5.72089
150,DUISB,8010316,Duisburg,"Duisburg Hbf","Duisburg Hbf",duisburg-hbf,D,knooppuntIntercitystation,51.429778571332,6.7759037017822
156,DVN,8400193,Duiven,Duiven,Duiven,duiven,NL,stoptreinstation,51.943332672119,6.0147223472595
155,DVD,8400194,Duivendrt,Duivendrecht,Duivendrecht,duivendrecht,NL,knooppuntStoptreinstation,52.323333740234,4.9363889694214
580,KDUL,8015125,Dülken,Dülken,Dülken,dulken,D,intercitystation,51.257149,6.33793
581,EDULH,8021005,Dülmen,Dülmen,Dülmen,dulmen,D,stoptreinstation,51.827927,7.295756
811,KDFFH,8039904,"Düsseld F.","Düsseldorf Flug.","Düsseldorf Flughafen",dusseldorf-flughafen,D,knooppuntIntercitystation,51.292009,6.786836
152,DUSSEL,8008094,Düsseldrf,"Düsseldorf Hbf","Düsseldorf Hbf",dusseldorf-hbf,D,megastation,51.220146,6.793137
161,EC,8400195,Echt,Echt,Echt,echt,NL,stoptreinstation,51.100555419922,5.8788890838623
163,EDC,8400201,"Ede C","Ede C.","Ede Centrum",ede-centrum,NL,stoptreinstation,52.043609619141,5.668333530426
162,ED,8400200,Ede-Wag,Ede-Wageningen,Ede-Wageningen,ede-wageningen,NL,knooppuntIntercitystation,52.027778625488,5.6730556488037
817,EEM,8400202,Eemshaven,Eemshaven,Eemshaven,eemshaven,NL,stoptreinstation,53.458419,6.832
164,EDN,8400219,Eijsden,Eijsden,Eijsden,eijsden,NL,stoptreinstation,50.771945953369,5.710000038147
168,EHV,8400206,"Eindhovn C","Eindhoven C.","Eindhoven Centraal",eindhoven-centraal,NL,megastation,51.443332672119,5.4813890457153
784,EHS,8400196,Strijp-S,Strijp-S,"Eindhoven Strijp-S",eindhoven-strijp-s,NL,stoptreinstation,51.451110839844,5.4558334350586
625,LKR,8821071,Ekeren,Ekeren,Ekeren,ekeren,B,stoptreinstation,51.2816099,4.4341227
184,EST,8400207,Elst,Elst,Elst,elst,NL,knooppuntStoptreinstation,51.916942596435,5.8550000190735
173,EMN,8400208,Emmen,Emmen,Emmen,emmen,NL,sneltreinstation,52.790000915527,6.8994445800781
174,EMNZ,8400407,"Emmen Z","Emmen Zuid","Emmen Zuid",emmen-zuid,NL,sneltreinstation,52.748866374691,6.8747806549072
171,EM,8010288,Emmerich,Emmerich,Emmerich,emmerich,D,knooppuntStoptreinstation,51.834283,6.255718
825,EL,8033415,Elten,Emmerich-Elten,Emmerich-Elten,emmerich-elten,D,stoptreinstation,51.8743,6.15417
170,EKZ,8400210,Enkhuizen,Enkhuizen,Enkhuizen,enkhuizen,NL,stoptreinstation,52.699165344238,5.286388874054
585,EENP,8008134,Ennepetal,Ennepetal,Ennepetal,ennepetal,D,stoptreinstation,51.304892,7.343285
178,ES,8400212,Enschede,Enschede,Enschede,enschede,NL,knooppuntIntercitystation,52.222499847412,6.8899998664856
181,ESE,8400217,Eschmarke,"De Eschmarke","Enschede De Eschmarke",enschede-de-eschmarke,NL,stoptreinstation,52.221389770508,6.9511113166809
